#List of considered 24,479 proteomes considered for NetFlax

GCF_000005825.2	Bacillus pseudofirmus OF4
GCF_000425105.1	Agrococcus lahaulensis DSM 17612
GCF_000425125.1	Paenibacillus taiwanensis DSM 18679
GCF_000425145.1	Pedobacter glucosidilyticus DSM 23534
GCF_000425185.1	Pleomorphomonas koreensis DSM 23070
GCF_000425205.1	Pontibacillus halophilus JSM 076056 = DSM 19796
GCF_000425225.1	Pontibacillus marinus BH030004 = DSM 16465
GCF_000425265.1	Desulfovibrio zosterae DSM 11974
GCF_000425305.1	Psychroserpens burtonensis DSM 12212
GCF_000425345.1	Rheinheimera baltica DSM 14885
GCF_000425365.1	Rubritepida flocculans DSM 14296
GCF_000425385.1	Pseudoduganella violaceinigra DSM 15887
GCF_000425405.1	Ferrimonas kyonanensis DSM 18153
GCF_000425425.1	Flavobacterium daejeonense DSM 17708
GCF_000425445.1	Flavobacterium denitrificans DSM 15936
GCF_000425465.1	Flavobacterium filum DSM 17961
GCF_000425485.1	Flavobacterium tegetincola DSM 22377
GCF_000425505.1	Flavobacterium frigidarium DSM 17623
GCF_000425565.1	Tepidiphilus margaritifer DSM 15129
GCF_000425585.1	Terrimonas ferruginea DSM 30193
GCF_000425625.1	Pseudomonas azotifigens DSM 17556
GCF_000425645.1	Gaetbulibacter saemankumensis DSM 17032
GCF_000425665.1	Gemella cuniculi DSM 15828
GCF_000425685.1	Gulosibacter molinativorax DSM 13485
GCF_000425705.1	Halobacillus kuroshimensis DSM 18393
GCF_000425725.1	Halomonas halocynthiae DSM 14573
GCF_000425825.1	Jeotgalicoccus marinus DSM 19772
GCF_000425845.1	Jeotgalicoccus psychrophilus DSM 19085
GCF_000425865.1	Lacticigenium naphtae DSM 19658
GCF_000426225.1	Desulforegula conservatrix Mb1Pa
GCF_000426305.1	Anaerovorax odorimutans DSM 5092
GCF_000426365.1	Arenimonas composti TR7-09 = DSM 18010
GCF_000426385.1	Arsenicicoccus bolidensis DSM 15745
GCF_000426445.1	Brevibacterium album DSM 18261
GCF_000426465.1	Chryseobacterium caeni DSM 17710
GCF_000426485.1	Dysgonomonas capnocytophagoides DSM 22835
GCF_000426505.1	Nisaea denitrificans DSM 18348
GCF_000426525.1	Nocardioides alkalitolerans DSM 16699
GCF_000426545.1	Paenibacillus panacisoli DSM 21345
GCF_000426565.1	Prevotella albensis DSM 11370 = JCM 12258
GCF_000426625.1	Psychrilyobacter atlanticus DSM 19335
GCF_000426645.1	Nakamurella lactea DSM 19367
GCF_000426665.1	Selenomonas artemidis DSM 19719
GCF_000426685.1	Solimonas flava DSM 18980
GCF_000426705.1	Spirochaeta cellobiosiphila DSM 17781
GCF_000426725.1	Sporocytophaga myxococcoides DSM 11118
GCF_000426745.1	Veillonella montpellierensis DSM 17217
GCF_000426765.1	Vibrio litoralis DSM 17657
GCF_000426825.1	Thermonema rossianum DSM 10300
GCF_000426885.1	Moraxella caprae DSM 19149
GCF_000426905.1	Dolichospermum circinale AWQC131C
GCF_000427115.1	Choristoneura biennis entomopoxvirus
GCF_000427135.1	Adoxophyes honmai entomopoxvirus 'L'
GCF_000427155.1	Mythimna separata entomopoxvirus 'L'
GCF_000427175.1	Choristoneura rosaceana entomopoxvirus 'L'
GCF_000427335.1	Winogradskyella psychrotolerans RS-3
GCF_000427365.1	Rikenella microfusus DSM 15922
GCF_000427385.1	Methylocaldum szegediense O-12
GCF_000427405.1	Flectobacillus major DSM 103
GCF_000427425.1	Caldanaerobius polysaccharolyticus DSM 13641
GCF_000427445.1	Methylocapsa acidiphila B2
GCF_000427465.1	Sinorhizobium arboris LMG 14919
GCF_000427565.1	Carboxydothermus ferrireducens DSM 11255
GCF_000427625.1	Methylobacter luteus IMV-B-3098
GCF_000427645.1	Sphingomonas phyllosphaerae FA2
GCF_000427665.1	Geminicoccus roseus DSM 18922
GCF_000427685.1	Haloplanus natans DSM 17983
GCF_000427785.1	Massilia alkalitolerans DSM 17462
GCF_000427825.1	Thermocrispum municipale DSM 44069
GCF_000427865.1	Corynebacterium sputi DSM 45148
GCF_000427905.1	Thermocrispum agreste DSM 44070
GCF_000427925.1	Rhizobium mesoamericanum STM6155
GCF_000427965.1	Olivibacter sitiensis DSM 17696
GCF_000428045.1	Sedimenticola selenatireducens DSM 17993
GCF_000428065.1	Shimazuella kribbensis DSM 45090
GCF_000428125.1	Bacteroides graminisolvens DSM 19988 = JCM 15093
GCF_000428145.1	Chitinilyticum litopenaei DSM 21440
GCF_000428465.1	Chitinimonas koreensis DSM 17726
GCF_000428485.1	Epilithonimonas tenax DSM 16811
GCF_000428505.1	Halomonas anticariensis FP35 = DSM 16096
GCF_000428525.1	Hellea balneolensis DSM 19091
GCF_000428585.1	Zooshikella ganghwensis DSM 15267
GCF_000428725.1	Psychromonas aquimarina ATCC BAA-1526
GCF_000428745.1	Veillonella magna DSM 19857
GCF_000428765.1	Brevundimonas aveniformis DSM 17977
GCF_000428785.1	Conchiformibius kuhniae DSM 17694
GCF_000428805.1	Corynebacterium freiburgense DSM 45254
GCF_000428825.1	Desulfomicrobium escambiense DSM 10707
GCF_000428845.1	Dyadobacter alkalitolerans DSM 23607
GCF_000428865.1	Eremococcus coleocola DSM 15696
GCF_000428885.1	Geothrix fermentans DSM 14018
GCF_000428905.1	Glaciecola pallidula DSM 14239 = ACAM 615
GCF_000428945.1	Hamadaea tsunoensis DSM 44101
GCF_000428985.1	Marinobacterium litorale DSM 23545
GCF_000429005.1	Novosphingobium acidiphilum DSM 19966
GCF_000429025.1	Pseudonocardia spinosispora DSM 44797
GCF_000429045.1	Salinarimonas rosea DSM 21201
GCF_000429065.1	Silanimonas lenta DSM 16282
GCF_000429085.1	Streptomyces flavidovirens DSM 40150
GCF_000429105.1	Schaalia suimastitidis DSM 15538
GCF_000429125.1	Aequorivita capsosiphonis DSM 23843
GCF_000429145.1	Aestuariibacter salexigens DSM 15300
GCF_000429165.1	Acetobacter nitrogenifigens DSM 23921 = LMG 23498
GCF_000429225.1	Actinomyces dentalis DSM 19115
GCF_000429265.1	Actinomyces gerencseriae DSM 6844
GCF_000429305.1	Desulfovibrio inopinatus DSM 10711
GCF_000429325.1	Desulfovibrio putealis DSM 16056
GCF_000429345.1	Desulfovirgula thermocuniculi DSM 16036
GCF_000429365.1	Pseudodonghicola xiamenensis DSM 18339
GCF_000429405.1	Algoriphagus marincola DSM 16067
GCF_000429425.1	Algoriphagus mannitolivorans DSM 15301
GCF_000429445.1	Algoriphagus terrigena DSM 22685
GCF_000429465.1	Algoriphagus vanfongensis DSM 17529
GCF_000429485.1	Aliagarivorans marinus DSM 23064
GCF_000429505.1	Aliagarivorans taiwanensis DSM 22990
GCF_000429525.1	Alicyclobacillus contaminans DSM 17975
GCF_000429585.1	Atopococcus tabaci DSM 17538
GCF_000429605.1	Azonexus hydrophilus DSM 23864
GCF_000429625.1	Azospirillum halopraeferens DSM 3675
GCF_000429645.1	Niveispirillum irakense DSM 11586
GCF_000429665.1	Azovibrio restrictus DSM 23866
GCF_000429685.1	Bacillus aidingensis DSM 18341
GCF_000429705.1	Bacillus aurantiacus DSM 18675
GCF_000429725.1	Bacillus chagannorensis DSM 18086
GCF_000429765.1	Gemmobacter nectariphilus DSM 15620
GCF_000429785.1	Chitinibacter tainanensis DSM 15459
GCF_000429825.1	Cohnella thermotolerans DSM 17683
GCF_000429845.1	Comamonas composti DSM 21721
GCF_000429865.1	Cucumibacter marinus DSM 18995
GCF_000429925.1	Desulfatirhabdium butyrativorans DSM 18734
GCF_000429945.1	Desulfobulbus japonicus DSM 18378
GCF_000429965.1	Desulfobulbus mediterraneus DSM 13871
GCF_000429985.1	Desulfovibrio bastinii DSM 16055
GCF_000430005.1	Desulfovibrio cuneatus DSM 11391
GCF_000430025.1	Flavobacterium suncheonense GH29-5 = DSM 17707
GCF_000430045.1	Calidithermus chliarophilus DSM 9957
GCF_000430505.1	Eisenibacter elegans DSM 3317
GCF_000430545.1	Tenacibaculum ovolyticum DSM 18103
GCF_000430585.1	Alicyclobacillus herbarius DSM 13609
GCF_000430605.1	Anaeroarcus burkinensis DSM 6283
GCF_000430625.1	Aneurinibacillus terranovensis DSM 18919
GCF_000430645.1	Aquimarina latercula DSM 2041
GCF_000430685.1	Tuberibacillus calidus DSM 17572
GCF_000430705.1	Arthrobacter castelli DSM 16402
GCF_000430725.1	Azohydromonas australica DSM 1124
GCF_000430745.1	Fictibacillus gelatini DSM 15865
GCF_000430765.1	Bacillus kribbensis DSM 17871
GCF_000430785.1	Bacillus panaciterrae DSM 19096
GCF_000430805.1	Chitinilyticum aquatile DSM 21506
GCF_000430825.1	Chryseobacterium daeguense DSM 19388
GCF_000430845.1	Chryseobacterium gregarium DSM 19109
GCF_000430885.1	Desulfallas alcoholivorax DSM 16058
GCF_000430905.1	Methanocorpusculum bavaricum DSM 4179
GCF_000430995.1	Thermobrachium celere DSM 8682
GCF_000439375.1	Tatumella saanichensis
GCF_000439435.1	Spiroplasma taiwanense CT-1
GCF_000439455.1	Spiroplasma diminutum CUAS-1
GCF_000441555.1	Candidatus Profftella armatura
GCF_000442255.1	Salipiger mucosus DSM 16094
GCF_000442275.2	Litoreibacter arenae DSM 19593
GCF_000442315.1	Rubellimicrobium thermophilum DSM 16684
GCF_000442595.1	Cycloclasticus zancles 78-ME
GCF_000442605.1	Candidatus Nasuia deltocephalinicola str. NAS-ALF
GCF_000442645.1	Corynebacterium maris DSM 45190
GCF_000443165.1	Thauera terpenica 58Eu
GCF_000444875.1	Streptomyces collinus Tu 365
GCF_000444935.1	Cycloclasticus pugetii
GCF_000444995.1	Paracoccus aminophilus JCM 7686
GCF_000445065.1	Sphingobium quisquiliarum P25
GCF_000445125.1	Novosphingobium lindaniclasticum LE124
GCF_000445475.1	Sulfurimonas hongkongensis
GCF_000445995.2	Geobacillus genomosp. 3
GCF_000446015.1	Thermofilum adornatum
GCF_000447205.1	Sphingobium ummariense RL-3
GCF_000452745.2	Pseudomonas asturiensis
GCF_000454065.1	Brevibacillus thermoruber 423
GCF_000454545.1	Xanthomonas cassavae CFBP 4642
GCF_000455225.1	Megasphaera massiliensis
GCF_000455325.1	Mycolicibacterium septicum DSM 44393
GCF_000455345.1	Halopiger goleimassiliensis
GCF_000455365.1	Halopiger djelfimassiliensis
GCF_000455485.1	Gorillibacterium massiliense
GCF_000455525.1	Candidatus Microthrix parvicella RN1
GCF_000455605.1	Flavobacterium indicum GPTSA100-9 = DSM 17447
GCF_000462205.1	Pseudogulbenkiania ferrooxidans EGD-HP2
GCF_000462975.1	Vibrio anguillarum M3
GCF_000463015.1	Variovorax paradoxus B4
GCF_000464745.1	Planktothrix mougeotii NIVA-CYA 405
GCF_000464845.1	Planktothrix prolifica NIVA-CYA 98
GCF_000466985.1	Brevundimonas abyssalis TAR-001
GCF_000467125.1	Vibrio proteolyticus NBRC 13287
GCF_000468055.1	Treponema lecithinolyticum ATCC 700332
GCF_000468495.1	Desulfovibrio gigas DSM 1382 = ATCC 19364
GCF_000468535.1	Peptoniphilus mikwangii
GCF_000468615.2	Cellulophaga baltica 18
GCF_000468755.1	Olsenella profusa F0195
GCF_000469155.1	Candidatus Micropelagos thuwalensis
GCF_000469325.1	Lactobacillus shenzhenensis LY-73
GCF_000469465.1	Gemella bergeri ATCC 700627
GCF_000469585.1	Chrysiogenes arsenatis DSM 11915
GCF_000469665.2	Holospora obtusa F1
GCF_000470655.1	Halorhabdus tiamatea SARL4B
GCF_000470775.1	Leifsonia xyli subsp. cynodontis DSM 46306
GCF_000471625.1	Psychrobacter aquaticus CMS 56
GCF_000471645.3	Candidatus Schmidhempelia bombi str. Bimp
GCF_000472525.1	Paraburkholderia dilworthii
GCF_000472665.1	Acetobacterium dehalogenans DSM 11527
GCF_000472905.1	Alicyclobacillus pomorum DSM 14955
GCF_000473085.1	Azorhizobium doebereinerae UFLA1-100
GCF_000473125.1	Bradyrhizobium genosp. SA-4 str. CB756
GCF_000473145.1	Leisingera daeponensis DSM 23529
GCF_000473165.1	Leisingera aquimarina DSM 24565
GCF_000473205.1	Pseudophaeobacter arcticus DSM 23566
GCF_000473245.1	Bacillus infantis NRRL B-14911
GCF_000473265.1	Amycolatopsis thermoflava N1165
GCF_000473325.1	Leisingera caerulea DSM 24564
GCF_000473365.1	Adhaeribacter aquaticus DSM 16391
GCF_000473895.1	Rubidibacter lacunae KORDI 51-2
GCF_000474235.1	Halarchaeum acidiphilum MH1-52-1
GCF_000474275.2	Bacillus marmarensis DSM 21297
GCF_000474745.1	Chitinivibrio alkaliphilus ACht1
GCF_000474765.1	Pseudomonas aestus
GCF_000474945.1	Solimonas soli DSM 21787
GCF_000477415.1	Mycoplasma parvum str. Indiana
GCF_000477435.1	Candidatus Symbiobacter mobilis CR
GCF_000477555.1	Leifsonia rubra CMS 76R
GCF_000478195.2	Lyngbya aestuarii BL J
GCF_000478605.2	Streptomyces thermolilacinus SPC6
GCF_000478885.1	Adlercreutzia equolifaciens DSM 19450
GCF_000479355.1	Mesoplasma florum W37
GCF_000482365.1	Porphyromonas uenonis DSM 23387 = JCM 13868
GCF_000482465.1	Runella limosa DSM 17973
GCF_000482705.1	Glycomyces arizonensis DSM 44726
GCF_000482725.1	Psychromonas arctica DSM 14288
GCF_000482785.1	Derxia gummosa DSM 723
GCF_000482805.1	Deinococcus murrayi DSM 11303
GCF_000482825.1	Thermodesulfovibrio islandicus DSM 12570
GCF_000482845.1	Anaerobiospirillum succiniciproducens DSM 6400
GCF_000482865.1	Actinokineospora inagensis DSM 44258
GCF_000483125.1	Atopobium fossor DSM 15642
GCF_000483165.1	Acholeplasma multilocale ATCC 49900
GCF_000483485.1	Thiomicrorhabdus chilensis DSM 12352
GCF_000484535.1	Gloeobacter kilaueensis JS1
GCF_000484635.1	Comamonas badia DSM 17552
GCF_000484695.1	Salinispora cortesiana
GCF_000485845.1	Rickettsia gravesii BWI-1
GCF_000485905.1	Spiribacter curvatus
GCF_000487995.1	Mucispirillum schaedleri ASF457
GCF_000488215.1	Acinetobacter nectaris CIP 110549
GCF_000493735.1	Carnobacterium inhibens subsp. gilichinskyi
GCF_000494755.1	Actinoplanes friuliensis DSM 7358
GCF_000495255.1	Wheat blue dwarf phytoplasma
GCF_000495435.3	Youngiibacter fragilis 232.1
GCF_000495475.1	Candidatus Halobonum tyrrellensis G22
GCF_000495775.1	Asticcacaulis benevestitus DSM 16100 = ATCC BAA-896
GCF_000495915.1	Pseudomonas chloritidismutans AW-1
GCF_000495935.2	Elizabethkingia anophelis NUHP1
GCF_000496075.1	Lutibaculum baratangense AMV1
GCF_000496595.1	Candidatus Liberibacter americanus str. Sao Paulo
GCF_000496735.2	Methyloglobulus morosus KoM1
GCF_000497245.1	Sporolactobacillus laevolacticus DSM 442
GCF_000497445.1	Streptomyces roseochromogenus subsp. oscitans DS 12.976
GCF_000498535.1	Flavobacterium limnosediminis JC2902
GCF_000498575.2	Pseudomonas taeanensis MS-3
GCF_000498955.2	Lactobacillus fabifermentans DSM 21115
GCF_000498975.2	Pseudomonas soli
GCF_000499525.1	[Clostridium] dakarense
GCF_000499665.2	Rickettsia monacensis
GCF_000500045.1	Borrelia persica No12
GCF_000500065.1	Borrelia hispanica CRI
GCF_000500935.1	Spiroplasma apis B31
GCF_000503775.1	Brevibacillus panacihumi W25
GCF_000503895.1	Hyphomicrobium nitrativorans NL23
GCF_000504085.1	Pseudothermotoga elfii DSM 9442 = NBRC 107921
GCF_000504145.1	Bacillus cihuensis
GCF_000504205.1	Methanolobus tindarius DSM 2278
GCF_000504245.1	Haloechinothrix halophila YIM 93223
GCF_000504285.1	Actinospica robiniae DSM 44927
GCF_000504305.1	Desulfovibrio termitidis HI1
GCF_000504565.1	Haloarcula hispanica N601
GCF_000505545.1	Kurthia huakuii LAM0618
GCF_000507245.1	Salinispira pacifica
GCF_000508165.1	Marinomonas profundimaris
GCF_000508225.1	Ehrlichia muris AS145
GCF_000508245.1	Mycoplasma ovis str. Michigan
GCF_000510645.1	Thermicanus aegyptius DSM 12793
GCF_000510805.1	Ignatzschineria larvae DSM 13226
GCF_000511175.1	Sediminibacterium salmoneum NBRC 103935
GCF_000511355.1	Leisingera methylohalidivorans DSM 14336
GCF_000511385.1	Phaeobacter gallaeciensis DSM 26640
GCF_000512145.1	Borrelia parkeri HR1
GCF_000512205.2	Sphingomonas sanxanigenens DSM 19645 = NX02
GCF_000512235.1	Syntrophorhabdus aromaticivorans UI
GCF_000512355.1	Legionella oakridgensis ATCC 33761 = DSM 21215
GCF_000512735.1	Thermocrinis ruber
GCF_000512915.1	Barnesiella viscericola DSM 18177
GCF_000513195.1	Bacteroides timonensis
GCF_000513215.1	Serratia marcescens subsp. marcescens Db11
GCF_000513275.1	Paenibacillus gorillae
GCF_000513475.1	Candidatus Babela massiliensis
GCF_000513835.1	Pseudomonas thermotolerans J53
GCF_000514055.1	Streptomyces griseolus
GCF_000514435.1	Salinispora mooreana
GCF_000514455.1	Salinispora oceanensis
GCF_000514535.1	Salinispora pacifica CNT001
GCF_000514675.1	Salinispora vitiensis
GCF_000514815.1	Salinispora fenicalii
GCF_000515335.1	Cohnella panacarvi Gsoil 349
GCF_000515355.1	Promicromonospora kroppenstedtii DSM 19349
GCF_000515395.1	Jiangella gansuensis DSM 44835
GCF_000517025.1	Halonatronum saccharophilum DSM 13868
GCF_000517065.1	Alkaliflexus imshenetskii DSM 15055
GCF_000517085.1	Saccharicrinis fermentans DSM 9555 = JCM 21142
GCF_000517405.1	Candidatus Sodalis pierantonius str. SOPE
GCF_000517425.1	Sodalis praecaptivus
GCF_000517445.1	Thermococcus paralvinellae
GCF_000517565.1	Desulfurella acetivorans A63
GCF_000517625.1	Halostagnicola larsenii XH-48
GCF_000518205.1	Facklamia sourekii ATCC 700629
GCF_000518245.1	Brachyspira alvinipulli ATCC 51933
GCF_000518265.1	Actinomadura oligospora ATCC 43269
GCF_000518285.1	Entomoplasma lucivorax ATCC 49196
GCF_000518305.1	Mycoplasma imitans ATCC 51306
GCF_000518545.1	Hallella seregens ATCC 51272
GCF_000518565.1	Thermoanaerobacter thermocopriae JCM 7501
GCF_000518605.1	Shewanella fidelis ATCC BAA-318
GCF_000518645.1	Curvibacter gracilis ATCC BAA-807
GCF_000518685.1	Eubacterium xylanophilum ATCC 35991
GCF_000518725.1	Mesoplasma seiffertii ATCC 49495
GCF_000518745.1	Phaseolibacter flectens ATCC 12775
GCF_000518785.1	Rhizobium selenitireducens ATCC BAA-1503
GCF_000518805.1	Shewanella waksmanii ATCC BAA-643
GCF_000519045.1	Dechloromonas agitata is5
GCF_000519125.1	Desulfocurvus vexinensis DSM 17965
GCF_000519185.1	Paraburkholderia nodosa DSM 21604
GCF_000519205.1	Amycolatopsis taiwanensis DSM 45107
GCF_000519265.1	Desulfonatronum lacustre DSM 10312
GCF_000519325.1	Patulibacter minatonensis DSM 18081
GCF_000519345.1	Deinococcus pimensis DSM 21231
GCF_000520015.2	Chania multitudinisentens RB-25
GCF_000520715.1	Paenibacillus zanthoxyli JH29
GCF_000520735.1	Paenibacillus forsythiae T98
GCF_000520815.1	Paenibacillus maysiensis
GCF_000520955.1	Aquimarina pacifica
GCF_000520995.1	Aquimarina macrocephali JAMB N27
GCF_000521465.1	Hungateiclostridium straminisolvens JCM 21531
GCF_000521485.1	Gracilibacillus boraciitolerans JCM 21714
GCF_000521505.1	Advenella mimigardefordensis DPN7
GCF_000521785.1	Roseivivax halodurans JCM 10272
GCF_000521805.1	Marinomonas ushuaiensis DSM 15871
GCF_000521865.1	Roseivivax isoporae LMG 25204
GCF_000522985.1	Gemmatirosa kalamazoonesis
GCF_000524555.1	Mycoplasma bovoculi M165/69
GCF_000525635.1	Kutzneria albida DSM 43870
GCF_000525855.1	Listeria cornellensis FSL F6-0969
GCF_000525875.1	Listeria floridensis FSL S10-1187
GCF_000525915.1	Brochothrix campestris FSL F6-1037
GCF_000525995.1	Listeria riparia FSL S10-1204
GCF_000526155.1	Deferrisoma camini S3R1
GCF_000526235.1	Acholeplasma granularum ATCC 19168
GCF_000526375.1	Aminiphilus circumscriptus DSM 16581
GCF_000526395.1	Aminobacterium mobile DSM 12262
GCF_000526435.1	Caldicoprobacter oshimai DSM 21659
GCF_000526675.1	Atopobacter phocae ATCC BAA-285
GCF_000526695.1	Carnimonas nigrificans ATCC BAA-78
GCF_000526715.1	Hydrogenovibrio kuenenii DSM 12350
GCF_000526915.1	Mycobacterium genavense ATCC 51234
GCF_000526955.1	Mycoplasma cricetuli ATCC 35279
GCF_000526995.1	[Clostridium] indolis DSM 755
GCF_000527035.1	Tolumonas lignilytica
GCF_000527095.1	Methylosarcina lacus LW14
GCF_000527155.1	Haloglycomyces albus DSM 45210
GCF_000530755.1	Wolbachia endosymbiont of Onchocerca volvulus str. Cameroon
GCF_000531125.1	Candidatus Contendobacter odensis Run_B_J11
GCF_000550765.1	Komagataeibacter xylinus E25
GCF_000550785.1	Corynebacterium casei LMG S-19264
GCF_000550805.1	Corynebacterium vitaeruminis DSM 20294
GCF_000559025.1	Luteimonas huabeiensis HB2
GCF_000559085.1	Mycolicibacterium aromaticivorans JS19b1 = JCM 16368
GCF_000564855.1	Actinokineospora spheciospongiae
GCF_000565175.1	Spiroplasma culicicola AES-1
GCF_000565195.1	Spiroplasma mirum ATCC 29335
GCF_000565215.1	Spiroplasma sabaudiense Ar-1343
GCF_000565325.1	Salinivibrio socompensis S10B
GCF_000566685.1	Dyadobacter tibetensis Y620-1
GCF_000568425.1	Cellulophaga geojensis KL-A
GCF_000568715.1	Borrelia crocidurae DOU
GCF_000568755.1	Borrelia coriaceae ATCC 43381
GCF_000576425.1	Brachybacterium phenoliresistens
GCF_000576555.1	Hymenobacter swuensis DY53
GCF_000576575.1	Intrasporangium chromatireducens Q5-1
GCF_000576595.1	Intrasporangium oryzae NRRL B-24470
GCF_000576635.1	Skermanella stibiiresistens SB22
GCF_000577275.2	Rhizobium favelukesii
GCF_000577555.1	Corynebacterium jeddahense
GCF_000577895.1	Clostridium bornimense
GCF_000582535.1	Candidatus Hepatoplasma crinochetorum Av
GCF_000582685.1	[Scytonema hofmanni] UTEX 2349
GCF_000583815.1	Ectothiorhodospira haloalkaliphila
GCF_000583875.1	Chlamydia avium 10DC88
GCF_000585215.1	Imhoffiella purpurea
GCF_000585235.1	Nitrincola nitratireducens
GCF_000585355.1	Prevotella oryzae DSM 17970
GCF_000585375.1	Cryptosporangium arvum DSM 44712
GCF_000585395.1	Saccharibacillus sacchari DSM 19268
GCF_000585415.1	Sphingomonas jaspsi DSM 18422
GCF_000585495.1	Thermococcus nautili
GCF_000590495.2	Pandoraea pnomenusa 3kgm
GCF_000590555.1	Corynebacterium argentoratense DSM 44202
GCF_000590815.1	Brucella ceti TE28753-12
GCF_000590885.1	Erwinia mallotivora
GCF_000590925.1	Roseibacterium elongatum DSM 19469
GCF_000591035.1	Aeropyrum camini SY1 = JCM 12091
GCF_000591055.1	Natronomonas moolapensis 8.8.11
GCF_000597725.1	Sulfurospirillum arcachonense DSM 9755
GCF_000597785.2	Hafnia alvei FB1
GCF_000597865.1	Peptoclostridium acidaminophilum DSM 3953
GCF_000598065.1	Paenibacillus darwinianus
GCF_000599865.1	Deinococcus phoenicis
GCF_000599985.1	Gilliamella apicola
GCF_000600005.1	Snodgrassella alvi wkB2
GCF_000600105.1	Lysinibacillus varians
GCF_000600335.2	Rubellimicrobium mesophilum DSM 19309
GCF_000600975.2	Limimaricola hongkongensis DSM 17492
GCF_000601455.1	Fervidicella metallireducens AeB
GCF_000601485.1	Chondromyces apiculatus DSM 436
GCF_000603945.1	Actinotalea ferrariae CF5-4
GCF_000604125.1	Treponema pallidum subsp. pallidum str. Sea 81-4
GCF_000612055.1	Trueperella pyogenes
GCF_000612505.1	Paenibacillus sabinae T27
GCF_000612665.1	Bacillus dielmoensis
GCF_000612685.1	Castellaniella defragrans 65Phen
GCF_000612725.1	Mycolicibacterium austroafricanum
GCF_000612805.1	Bacillus ndiopicus
GCF_000613285.1	Acetobacter papayae JCM 25143
GCF_000613565.1	Prevotella baroniae DSM 16972 = JCM 13447
GCF_000613725.1	Prevotella pleuritidis JCM 14110
GCF_000613745.1	Bacteroides propionicifaciens DSM 19291 = JCM 14649
GCF_000613805.1	Bacteroides paurosaccharolyticus JCM 15092
GCF_000613845.1	Asaia astilbis JCM 15831
GCF_000613885.1	Asaia prunellae JCM 25354
GCF_000613945.1	Prevotella falsenii DSM 22864 = JCM 15124
GCF_000614025.1	Prevotella aurantiaca JCM 15754
GCF_000614065.1	Prevotella dentasini JCM 15908
GCF_000614125.1	Bacteroides rodentium JCM 16496
GCF_000614545.1	Asaia platycodi JCM 25414
GCF_000614975.1	Shewanella marina JCM 15074
GCF_000615945.1	Bacillus mannanilyticus JCM 10596
GCF_000616065.1	Kordiimonas gwangyangensis DSM 19435 = JCM 12864
GCF_000616095.1	Sneathiella glossodoripedis JCM 23214
GCF_000617925.1	Methylobacillus glycogenes JCM 2850
GCF_000619805.1	Sulfurihydrogenibium subterraneum DSM 15120
GCF_000619845.1	Alkanindiges illinoisensis DSM 15370
GCF_000619885.1	Balneatrix alpica DSM 16621
GCF_000619905.2	Nitrosospira briensis C-128
GCF_000619945.1	Clostridium lundense DSM 17049
GCF_000620005.1	Mycoplasma spumans ATCC 19526
GCF_000620045.1	Halomonas halodenitrificans DSM 735
GCF_000620065.1	Meiothermus cerbereus DSM 11376
GCF_000620085.1	Marinobacterium jannaschii DSM 6295
GCF_000620125.1	Clostridiisalibacter paucivorans DSM 22131
GCF_000620145.1	Deefgea rivuli DSM 18356
GCF_000620305.1	Desulfitibacter alkalitolerans DSM 16504
GCF_000620345.1	Salinispora tropica CNT250
GCF_000620765.1	Desulfovermiculus halophilus DSM 18834
GCF_000620785.1	Pseudonocardia acaciae DSM 45401
GCF_000620805.1	Exiguobacterium undae DSM 14481
GCF_000620845.1	Exiguobacterium marinum DSM 16307
GCF_000621025.1	Brackiella oedipodis DSM 13743
GCF_000621085.1	Mycoplasma gallinarum DSM 19816
GCF_000621125.1	Maribacter antarcticus DSM 21422
GCF_000621145.1	Desulfobulbus elongatus DSM 2908
GCF_000621165.1	Enterovibrio calviensis DSM 14347
GCF_000621185.1	Franconibacter pulveris DSM 19144
GCF_000621305.1	Thauera linaloolentis 47Lol = DSM 12138
GCF_000621325.1	Thiothrix lacustris DSM 21227
GCF_000621445.1	Bacillus bogoriensis ATCC BAA-922
GCF_000621485.1	Alkaliphilus transvaalensis ATCC 700919
GCF_000621505.1	Ruminiclostridium cellobioparum DSM 1351 = ATCC 15832
GCF_000621625.1	Crocinitomix catalasitica ATCC 23190
GCF_000621665.1	Rhizobium undicola ORS 992 = ATCC 700741
GCF_000621705.1	Prolixibacter bellariivorans ATCC BAA-1284
GCF_000621725.1	Prevotella brevis ATCC 19188
GCF_000621965.1	Methanobrevibacter wolinii SH
GCF_000622165.1	Mycoplasma molare ATCC 27746
GCF_000622205.1	Mycoplasma leonicaptivi ATCC 49890
GCF_000622245.1	Fusobacterium perfoetens ATCC 29250
GCF_000622365.1	Sulfitobacter noctilucae
GCF_000626635.1	Draconibacterium orientale
GCF_000626675.1	Corynebacterium glyciniphilum AJ 3170
GCF_000626715.1	Aquimarina atlantica
GCF_000632495.1	Candidatus Acidianus copahuensis
GCF_000632515.1	Parageobacillus genomosp. 1
GCF_000632985.1	Neorickettsia helminthoeca str. Oregon
GCF_000633455.1	Pedobacter jeongneungensis
GCF_000633575.2	Sphingobium lucknowense F2
GCF_000633635.1	Enterococcus crotali
GCF_000647975.1	Actibacterium mucosum KCTC 23349
GCF_000648255.1	Candidatus Protochlamydia sp. R18
GCF_000648275.1	Holospora elegans E1
GCF_000648515.1	Citrobacter freundii CFNIH1
